"","a1","a2","a3","a4","a5","c1","c2","c3","c4","c5","e1","e2","e3","e4","e5","n1","n2","n3","n4","n5","o1","o2","o3","o4","o5","gender","education","age","id","genderf","educationf","nmiss","retain","agreeableness","conscientiousness","extraversion","neuroticism","openness","perc_agreeableness","perc_conscientiousness","perc_extraversion","perc_neuroticism","perc_openness"
"366",1,6,5,3,6,5,6,6,1,2,4,4,4,6,5,4,4,3,2,1,6,1,5,6,1,2,5,32,62375,"female","graduate degree",0,TRUE,5.2,5.6,4.2,2.8,5.8,69.3,92.9,48.9,41.3,94.1
"367",,5,4,3,4,4,3,3,3,4,4,2,4,4,4,3,3,4,3,2,5,2,4,4,3,1,2,49,62376,"male","finished HS",1,TRUE,4.2,3.4,4,3,4.4,27.6,18.6,41.9,47.5,39.5
"368",4,6,5,6,6,5,5,5,5,4,1,1,6,6,6,4,4,6,4,1,6,2,6,6,2,1,2,45,62377,"male","finished HS",0,TRUE,5.2,4,6,3.8,5.6,69.3,37.5,98.8,69.1,88.9
"369",1,6,5,2,2,4,1,5,6,6,6,6,3,2,1,4,5,5,5,2,5,6,5,6,2,1,1,18,62380,"male","HS",0,TRUE,4.2,2.4,1.6,4.2,4.4,27.6,3.5,1.8,79.4,39.5
"370",6,6,6,6,6,3,6,2,5,5,2,2,6,6,6,6,6,6,6,6,6,5,5,6,2,2,5,28,62382,"female","graduate degree",0,TRUE,5,3,5.6,6,4.8,60.3,9.9,93,99.5,57.7
"371",1,4,2,5,3,5,5,5,3,4,4,5,3,3,2,2,2,3,4,5,4,2,4,5,2,2,5,22,62384,"female","graduate degree",0,TRUE,4,4.4,2.6,3.2,4.6,21.2,52.1,8.6,53.1,48.5
"372",3,5,4,4,3,5,5,4,2,4,5,2,3,4,4,4,4,4,3,2,6,1,5,5,2,2,4,25,62387,"female","college graduate",0,TRUE,4,4.4,3.6,3.4,5.4,21.2,52.1,28.5,58.2,82.2
"373",1,6,6,6,6,6,5,4,1,1,1,1,6,6,6,1,1,1,1,1,6,1,6,6,1,2,5,34,62390,"female","graduate degree",0,TRUE,6,5.4,6,1,6,97.6,88.2,98.8,1.5,98.1
"374",2,5,5,5,3,5,5,5,1,4,4,4,3,3,5,4,4,4,4,2,6,1,5,4,1,2,5,42,62391,"female","graduate degree",0,TRUE,4.6,4.8,3.4,3.6,5.4,42.2,68.3,23.1,63.6,82.2
"375",1,5,3,5,4,5,4,3,1,4,3,2,4,5,5,3,4,2,3,2,5,4,4,5,1,2,3,37,62394,"female","some college",0,TRUE,4.6,4.2,4.6,2.8,4.6,42.2,44.3,62.8,41.3,48.5
"376",1,6,5,6,6,6,6,6,1,1,1,1,4,6,5,1,1,1,1,1,6,1,6,6,1,2,3,42,62397,"female","some college",0,TRUE,5.8,6,5.4,1,6,92.2,98.9,88.7,1.5,98.1
"377",1,5,5,6,4,5,5,4,1,1,3,3,3,4,5,2,2,2,2,4,5,1,5,5,1,2,5,23,62401,"female","graduate degree",0,TRUE,5.2,5.2,4,2.4,5.4,69.3,82.5,41.9,29.6,82.2
"378",4,4,5,1,5,5,4,4,2,5,1,4,6,6,5,3,4,4,2,5,3,3,5,6,5,2,4,29,62408,"female","college graduate",0,TRUE,3.6,4,5.2,3.6,4,12.6,37.5,83.3,63.6,23.7
"379",2,3,4,1,2,3,5,3,1,1,6,6,1,2,3,1,1,2,2,2,5,2,3,5,3,1,2,18,62412,"male","finished HS",0,TRUE,3,4.6,1.6,1.6,4.4,5.7,60.3,1.8,9.8,39.5
"380",2,6,6,4,6,6,5,5,3,2,1,1,3,6,5,1,1,1,1,1,5,1,5,1,6,2,3,22,62416,"female","some college",0,TRUE,5.4,5,5.2,1,3.6,78.1,75.8,83.3,1.5,12.1
"381",4,6,6,6,5,4,5,6,,1,1,3,6,6,6,1,6,6,3,4,6,1,6,5,1,2,3,30,62419,"female","some college",1,TRUE,5.2,5.2,5.6,4,5.8,69.3,82.5,93,74.3,94.1
"382",4,4,4,4,5,5,5,4,2,3,4,2,4,4,5,2,4,5,4,5,4,1,4,5,3,2,3,38,62421,"female","some college",0,TRUE,4,4.6,4.2,4,4.6,21.2,60.3,48.9,74.3,48.5
"383",2,6,5,6,3,5,6,5,2,3,3,2,5,5,5,3,5,5,1,4,4,2,4,6,2,2,2,53,62423,"female","finished HS",0,TRUE,5,5,4.8,3.6,4.8,60.3,75.8,69.8,63.6,57.7
"384",2,4,4,6,,5,4,5,4,4,6,4,4,5,2,1,2,3,4,2,3,1,2,4,5,1,3,28,62426,"male","some college",1,TRUE,4.8,4,3,2.4,3.4,50.9,37.5,15.1,29.6,8
"385",5,6,6,5,6,5,6,2,2,4,3,4,5,5,5,3,3,2,4,3,6,4,5,6,4,1,3,18,62433,"male","some college",0,TRUE,5,4.2,4.4,3,4.6,60.3,44.3,55.8,47.5,48.5
"386",1,5,6,6,6,6,5,5,1,1,2,4,5,6,5,2,3,2,2,4,5,1,4,5,2,2,4,31,62434,"female","college graduate",0,TRUE,5.8,5.6,4.8,2.6,5,92.2,92.9,69.8,35.3,66.4
"387",2,5,5,4,6,5,5,5,2,2,5,4,5,4,5,1,1,1,1,3,5,4,4,4,2,2,1,32,62435,"female","HS",0,TRUE,5,5,3.8,1.4,4.2,60.3,75.8,34.9,6.4,31.3
"389",1,6,5,5,6,3,4,5,5,6,4,5,6,6,4,4,4,4,6,4,6,1,6,6,3,2,,15,62440,"female",,2,TRUE,5.6,3,4.2,4.4,5.6,86,9.9,48.9,83.8,88.9
"390",4,2,4,6,5,5,5,4,1,2,3,2,3,5,5,3,4,2,1,1,3,4,1,4,2,2,2,23,62443,"female","finished HS",0,TRUE,4,5,4.4,2.2,3.2,21.2,75.8,55.8,24.1,4.9
"391",2,5,5,4,4,2,3,3,4,3,1,6,4,3,6,4,5,4,4,2,6,2,5,6,2,2,4,34,62444,"female","college graduate",0,TRUE,4.6,3,4,3.8,5.4,42.2,9.9,41.9,69.1,82.2
"392",2,6,6,6,6,5,5,5,1,5,5,1,5,5,6,5,5,5,4,2,6,2,6,5,1,1,5,29,62447,"male","graduate degree",0,TRUE,5.8,4.6,4.8,4.2,5.6,92.2,60.3,69.8,79.4,88.9
"393",1,6,2,6,5,5,5,5,4,2,2,6,1,4,5,4,2,1,2,3,6,5,3,6,5,2,3,51,62448,"female","some college",0,TRUE,5,4.6,3.2,2.4,3.8,60.3,60.3,18.9,29.6,17.3
"394",1,6,6,6,6,6,5,3,3,4,2,1,5,5,6,2,4,4,3,1,6,1,6,6,2,2,3,22,62450,"female","some college",0,TRUE,6,4.2,5.4,2.8,5.8,97.6,44.3,88.7,41.3,94.1
"395",2,5,5,6,4,4,5,4,2,3,2,3,4,4,5,3,3,1,1,2,5,1,4,4,2,2,3,38,62453,"female","some college",0,TRUE,5,4.4,4.4,2,4.8,60.3,52.1,55.8,18.8,57.7
"396",3,3,6,2,6,3,4,3,4,4,1,1,6,6,5,3,3,4,1,2,,4,6,5,2,2,5,26,62454,"female","graduate degree",1,TRUE,4.2,3.2,5.8,2.6,4.8,27.6,13.8,96.2,35.3,57.7
"397",4,4,,3,4,5,3,4,3,3,2,2,3,3,5,3,3,2,2,2,5,2,3,4,5,2,2,36,62457,"female","finished HS",1,TRUE,3.8,4,4.2,2.4,3.8,16,37.5,48.9,29.6,17.3
"398",1,5,3,4,4,6,4,4,1,1,3,4,3,5,5,3,3,3,1,3,4,4,3,4,3,2,3,19,62462,"female","some college",0,TRUE,4.4,5.2,4,2.6,3.6,34.5,82.5,41.9,35.3,12.1
"399",2,6,5,4,5,5,2,5,3,2,2,4,4,6,4,5,5,4,4,5,2,4,4,5,3,2,3,33,62463,"female","some college",0,TRUE,5,4.2,4.4,4.6,3.6,60.3,44.3,55.8,87.5,12.1
"400",1,5,5,6,5,5,4,4,4,4,1,2,4,6,4,4,5,5,3,5,2,2,6,5,2,2,1,40,62464,"female","HS",0,TRUE,5.4,3.8,5,4.4,4.6,78.1,30.7,76.9,83.8,48.5
"401",3,4,3,5,5,3,2,2,3,2,4,2,3,4,3,2,3,2,3,1,5,3,4,4,4,2,5,26,62467,"female","graduate degree",0,TRUE,4.2,3.2,3.6,2.2,4,27.6,13.8,28.5,24.1,23.7
"402",1,6,6,5,2,4,2,2,5,4,6,1,5,6,1,3,5,4,4,2,6,1,4,6,3,2,,12,62468,"female",,2,TRUE,5,2.6,3.8,3.6,5.2,60.3,5.1,34.9,63.6,74.6
"403",3,5,5,4,4,5,5,6,1,1,2,1,4,5,5,4,4,2,1,2,5,1,5,5,1,2,3,30,62469,"female","some college",0,TRUE,4.4,5.6,5,2.6,5.4,34.5,92.9,76.9,35.3,82.2
"404",2,6,5,5,6,5,4,2,2,4,2,4,5,5,3,1,,1,1,2,4,2,4,5,3,2,1,59,62470,"female","HS",1,TRUE,5.4,3.8,4.2,1.8,4.4,78.1,30.7,48.9,13.8,39.5
"405",4,5,5,4,5,2,6,6,1,1,6,1,5,5,5,4,5,3,4,5,6,1,6,5,1,2,3,32,62474,"female","some college",0,TRUE,4.4,5.2,4.4,4.2,5.8,34.5,82.5,55.8,79.4,94.1
"406",4,3,2,5,3,4,2,4,4,5,5,4,4,4,2,5,4,5,5,3,6,1,6,6,3,1,2,30,62476,"male","finished HS",0,TRUE,3.2,3,3,4.4,5.6,7.4,9.9,15.1,83.8,88.9
"407",1,4,6,5,6,5,6,5,1,1,2,2,6,6,4,4,4,2,1,1,5,1,6,5,2,2,4,32,62479,"female","college graduate",0,TRUE,5.4,5.6,5.2,2.4,5.4,78.1,92.9,83.3,29.6,82.2
"408",1,5,6,6,3,5,5,4,2,4,1,3,4,5,5,5,5,4,5,5,5,2,5,6,1,2,5,29,62480,"female","graduate degree",0,TRUE,5.2,4.4,4.8,4.8,5.4,69.3,52.1,69.8,90.3,82.2
"409",3,4,4,5,4,5,5,6,1,2,3,3,2,4,5,4,4,4,2,1,5,3,2,3,4,1,3,27,62481,"male","some college",0,TRUE,4.2,5.4,3.8,3,3.4,27.6,88.2,34.9,47.5,8
"410",3,4,5,2,3,5,3,4,1,1,6,5,2,1,3,3,3,2,3,2,5,5,2,2,5,2,3,48,62486,"female","some college",0,TRUE,3.6,4.8,1.8,2.6,2.6,12.6,68.3,2.7,35.3,1
"411",1,6,5,6,5,4,4,5,2,5,3,2,5,5,4,1,1,1,1,1,6,1,4,5,2,2,4,39,62489,"female","college graduate",0,TRUE,5.6,4,4.6,1,5.2,86,37.5,62.8,1.5,74.6
"412",3,6,6,6,4,5,2,5,4,3,4,2,3,4,5,4,4,6,5,4,3,6,1,5,4,2,3,22,62491,"female","some college",0,TRUE,5.2,3.8,4,4.6,2.6,69.3,30.7,41.9,87.5,1
"413",1,6,3,5,3,2,3,2,3,4,4,2,3,3,4,4,6,6,6,6,6,1,4,6,1,2,3,26,62493,"female","some college",0,TRUE,4.6,2.8,3.6,5.6,5.6,42.2,7.1,28.5,97.6,88.9
"414",1,2,1,4,2,6,5,5,1,1,6,6,4,1,3,2,5,1,5,5,6,1,5,6,1,2,3,26,62494,"female","some college",0,TRUE,3,5.6,2,3.6,5.8,5.7,92.9,3.8,63.6,94.1
"415",3,5,5,6,3,5,2,4,1,5,1,1,3,3,5,5,5,2,2,2,6,1,6,4,1,2,2,39,62496,"female","finished HS",0,TRUE,4.6,3.8,4.6,3.2,5.6,42.2,30.7,62.8,53.1,88.9
"416",4,6,5,6,6,5,3,2,3,5,1,2,3,4,5,4,4,5,1,5,6,3,4,4,5,2,3,32,62497,"female","some college",0,TRUE,5.2,3.2,4.6,3.8,4,69.3,13.8,62.8,69.1,23.7
"417",1,5,6,6,6,1,5,6,4,1,6,6,3,2,5,4,1,2,6,6,6,5,2,6,5,2,3,52,62498,"female","some college",0,TRUE,5.8,4.2,2.4,3.8,3.6,92.2,44.3,6.4,69.1,12.1
"418",3,5,5,6,5,5,4,5,2,3,2,4,4,5,4,4,5,5,5,4,5,2,3,5,4,2,3,40,62499,"female","some college",0,TRUE,5,4.6,4.2,4.6,4.2,60.3,60.3,48.9,87.5,31.3
"419",3,6,5,6,6,5,6,5,1,3,1,2,5,6,6,2,4,3,2,2,5,3,5,4,3,2,2,40,62500,"female","finished HS",0,TRUE,5.4,5.2,5.6,2.6,4.4,78.1,82.5,93,35.3,39.5
"420",1,6,6,6,6,1,5,6,1,1,1,6,5,5,1,1,3,1,2,1,6,1,5,6,1,2,3,40,62502,"female","some college",0,TRUE,6,4.8,3.6,1.6,5.8,97.6,68.3,28.5,9.8,94.1
"421",1,6,4,6,6,5,6,4,3,4,3,2,5,6,2,5,6,6,6,6,6,6,6,6,1,2,3,40,62505,"female","some college",0,TRUE,5.6,4.4,4.4,5.8,5,86,52.1,55.8,98.5,66.4
"422",3,6,5,6,5,5,6,6,1,2,1,2,5,6,6,5,2,1,,4,4,5,6,5,4,2,2,24,62508,"female","finished HS",1,TRUE,5.2,5.6,5.6,3,4,69.3,92.9,93,47.5,23.7
"423",1,6,6,5,6,6,5,6,2,2,5,4,5,3,3,1,5,5,5,6,6,5,3,6,1,2,3,23,62509,"female","some college",0,TRUE,5.8,5.4,3.2,4.4,4.6,92.2,88.2,18.9,83.8,48.5
"425",5,,5,6,5,6,6,5,1,2,5,2,6,3,6,4,3,2,4,1,6,1,3,2,1,2,3,26,62514,"female","some college",1,TRUE,4.6,5.6,4.4,2.8,4.6,42.2,92.9,55.8,41.3,48.5
"426",2,6,6,6,6,6,6,5,1,1,1,1,6,5,6,1,1,2,2,1,6,1,6,5,1,2,2,51,62518,"female","finished HS",0,TRUE,5.8,5.8,5.8,1.4,5.8,92.2,96.4,96.2,6.4,94.1
"427",,6,6,6,6,4,5,4,1,1,4,1,6,6,6,1,3,3,2,,6,1,3,4,1,2,1,39,62520,"female","HS",2,TRUE,5.8,5,5.4,2.4,5,92.2,75.8,88.7,29.6,66.4
"428",1,6,6,6,6,6,5,4,2,3,1,1,6,6,5,1,2,2,1,2,5,1,6,5,3,2,3,20,62522,"female","some college",0,TRUE,6,4.8,5.8,1.6,5.2,97.6,68.3,96.2,9.8,74.6
"429",2,6,5,6,5,5,4,1,3,1,4,1,6,6,5,5,5,5,5,5,4,1,6,5,5,2,1,19,62526,"female","HS",0,TRUE,5.4,4,5.2,5,4.6,78.1,37.5,83.3,92.6,48.5
"430",2,5,2,4,2,2,3,2,3,5,5,5,4,2,5,3,4,4,4,4,5,3,5,5,2,1,5,28,62527,"male","graduate degree",0,TRUE,3.6,2.6,3,3.8,4.8,12.6,5.1,15.1,69.1,57.7
"431",2,5,2,5,5,5,6,5,1,3,2,2,5,2,4,2,5,3,5,2,5,2,5,6,1,1,1,35,62528,"male","HS",0,TRUE,4.4,5.2,4.2,3.4,5.4,34.5,82.5,48.9,58.2,82.2
"432",2,5,2,5,5,5,6,5,1,3,2,2,5,2,4,1,4,2,5,2,5,2,5,6,1,1,1,35,62529,"male","HS",0,TRUE,4.4,5.2,4.2,2.8,5.4,34.5,82.5,48.9,41.3,82.2
"433",2,5,2,5,5,5,6,5,1,3,2,2,5,2,4,1,4,3,4,2,5,2,5,6,1,1,1,35,62530,"male","HS",0,TRUE,4.4,5.2,4.2,2.8,5.4,34.5,82.5,48.9,41.3,82.2
"434",2,5,2,5,5,5,6,5,1,3,2,2,5,2,4,1,5,4,4,2,5,2,5,6,1,1,1,35,62531,"male","HS",0,TRUE,4.4,5.2,4.2,3.2,5.4,34.5,82.5,48.9,53.1,82.2
"435",2,5,5,5,5,5,6,4,2,4,2,2,4,2,4,1,5,4,4,2,5,2,5,6,1,1,1,35,62532,"male","HS",0,TRUE,5,4.6,4,3.2,5.4,60.3,60.3,41.9,53.1,82.2
"436",2,5,5,5,5,5,6,4,2,4,2,2,4,3,5,1,5,4,4,2,5,2,5,6,1,1,1,35,62533,"male","HS",0,TRUE,5,4.6,4.4,3.2,5.4,60.3,60.3,55.8,53.1,82.2
"437",2,5,5,5,5,5,6,4,2,4,2,2,4,3,5,1,5,4,4,2,5,3,5,6,2,1,1,35,62535,"male","HS",0,TRUE,5,4.6,4.4,3.2,5,60.3,60.3,55.8,53.1,66.4
"438",2,5,2,6,5,2,2,2,4,5,2,1,4,5,2,2,2,2,2,1,6,5,2,3,4,2,4,32,62537,"female","college graduate",0,TRUE,4.6,2.2,4.4,1.8,3.2,42.2,2.3,55.8,13.8,4.9
"439",4,5,6,6,3,6,6,6,1,1,2,4,4,5,6,6,6,6,3,2,6,1,6,6,1,2,3,24,62538,"female","some college",0,TRUE,4.6,6,4.6,4.6,6,42.2,98.9,62.8,87.5,98.1
"440",2,6,6,6,5,6,5,6,4,4,4,1,4,6,5,1,1,1,5,1,6,1,6,6,1,2,1,23,62541,"female","HS",0,TRUE,5.6,4.6,4.8,1.8,6,86,60.3,69.8,13.8,98.1
"441",5,4,5,6,4,6,5,6,1,3,5,5,5,5,6,6,6,4,6,5,5,6,4,6,1,1,3,39,62542,"male","some college",0,TRUE,4.2,5.4,4,5.4,4.4,27.6,88.2,41.9,96.4,39.5
"442",2,5,6,5,5,4,5,5,1,,6,5,3,2,5,4,4,1,1,1,6,1,4,6,1,1,4,48,62543,"male","college graduate",1,TRUE,5.2,4.8,2.6,2.2,5.6,69.3,68.3,8.6,24.1,88.9
"443",1,4,4,5,4,2,5,2,4,3,6,5,3,5,5,6,6,6,5,6,3,6,4,5,2,2,1,26,62545,"female","HS",0,TRUE,4.6,3.2,3.2,5.8,3.6,42.2,13.8,18.9,98.5,12.1
"444",4,4,4,5,5,4,4,4,2,4,4,5,4,5,5,4,4,5,3,2,4,5,5,4,2,1,3,28,62546,"male","some college",0,TRUE,4.2,4,3.8,3.6,4,27.6,37.5,34.9,63.6,23.7
"445",1,6,6,6,5,6,5,6,5,4,5,1,5,6,5,1,1,2,5,1,6,4,6,6,2,2,1,23,62547,"female","HS",0,TRUE,5.8,4.4,4.8,2,5.2,92.2,52.1,69.8,18.8,74.6
"446",2,6,6,5,4,4,3,5,1,2,5,2,4,2,5,1,1,1,5,1,5,6,2,5,2,1,3,24,62548,"male","some college",0,TRUE,5.2,4.6,3.6,1.8,3.6,69.3,60.3,28.5,13.8,12.1
"447",2,5,6,6,5,4,4,4,2,4,3,3,5,5,5,2,3,2,2,1,4,2,5,5,3,2,3,29,62550,"female","some college",0,TRUE,5.4,4,4.6,2,4.6,78.1,37.5,62.8,18.8,48.5
"448",5,4,2,2,1,4,4,3,6,6,4,1,4,2,6,6,6,6,6,6,6,3,1,6,1,2,,19,62551,"female",,2,TRUE,2.2,2.6,4.2,6,4.6,1.3,5.1,48.9,99.5,48.5
"449",6,1,1,4,1,6,6,6,1,1,6,6,1,1,2,1,1,1,1,1,6,5,6,6,4,1,3,29,62552,"male","some college",0,TRUE,1.6,6,1.2,1,4.6,0.3,98.9,0.5,1.5,48.5
"450",1,6,6,6,5,6,6,6,1,1,2,3,6,5,6,3,3,3,1,2,6,1,6,5,1,2,3,26,62553,"female","some college",0,TRUE,5.8,6,5.2,2.4,5.8,92.2,98.9,83.3,29.6,94.1
"451",4,4,3,4,2,3,4,4,5,5,6,5,2,2,2,5,4,4,5,5,5,5,4,4,3,2,,15,62555,"female",,2,TRUE,3.2,3,1.8,4.6,3.8,7.4,9.9,2.7,87.5,17.3
"452",4,5,5,5,4,5,5,4,3,3,3,2,5,5,6,4,2,3,1,3,4,1,5,,2,2,3,37,62556,"female","some college",1,TRUE,4.4,4.4,5,2.6,5,34.5,52.1,76.9,35.3,66.4
"453",3,6,6,6,5,5,5,5,1,2,1,1,5,5,6,4,4,3,2,1,6,1,5,5,1,1,3,30,62557,"male","some college",0,TRUE,5.4,5.2,5.6,2.8,5.6,78.1,82.5,93,41.3,88.9
"454",5,6,5,6,5,5,5,5,4,3,3,2,5,6,5,2,3,2,5,4,6,1,5,2,1,2,3,36,62559,"female","some college",0,TRUE,4.8,4.4,5,3.2,5,50.9,52.1,76.9,53.1,66.4
"455",1,6,5,6,5,6,4,5,1,1,1,1,5,5,6,4,5,4,1,5,5,6,5,5,2,2,3,33,62561,"female","some college",0,TRUE,5.6,5.4,5.6,3.8,4.2,86,88.2,93,69.1,31.3
"456",2,5,4,6,5,3,5,5,1,2,4,3,2,5,6,2,2,1,1,2,5,2,4,3,4,1,3,23,62562,"male","some college",0,TRUE,5,4.8,4,1.6,4,60.3,68.3,41.9,9.8,23.7
"457",1,6,6,6,6,1,6,6,1,1,1,1,6,6,6,1,4,5,1,1,6,1,6,6,1,2,2,22,62565,"female","finished HS",0,TRUE,6,5,6,2.4,6,97.6,75.8,98.8,29.6,98.1
"458",2,5,6,5,4,6,6,4,1,5,1,2,4,5,5,5,5,5,2,2,6,1,6,6,1,2,3,17,62567,"female","some college",0,TRUE,5,4.8,5,3.8,6,60.3,68.3,76.9,69.1,98.1
"459",2,2,2,1,3,3,4,2,5,5,5,6,2,1,1,2,3,1,2,5,6,2,6,6,1,1,2,28,62570,"male","finished HS",0,TRUE,2.6,2.6,1.4,2.6,5.8,2.9,5.1,1.1,35.3,94.1
"460",5,4,4,4,3,6,6,6,1,6,3,2,4,4,5,6,6,4,4,3,6,3,5,4,3,2,3,36,62573,"female","some college",0,TRUE,3.4,5,4.4,4.6,4.6,9.7,75.8,55.8,87.5,48.5
"461",2,5,4,4,6,4,3,3,2,4,3,2,4,5,3,1,1,2,4,2,3,4,5,5,3,2,3,29,62574,"female","some college",0,TRUE,4.8,3.6,4.2,2,4,50.9,24.2,48.9,18.8,23.7
"462",2,5,5,5,5,2,1,2,5,4,5,5,5,4,2,5,5,5,6,4,5,6,4,6,2,2,5,59,62577,"female","graduate degree",0,TRUE,5,2,3,5,4.2,60.3,1.5,15.1,92.6,31.3
"463",1,5,6,6,5,5,5,6,1,3,3,3,5,6,5,1,2,1,2,2,6,2,5,6,2,2,3,19,62578,"female","some college",0,TRUE,5.6,5.2,4.8,1.6,5.4,86,82.5,69.8,9.8,82.2
"464",3,6,5,6,6,5,3,3,2,2,1,3,6,4,6,5,6,4,5,5,6,1,5,6,1,1,3,27,62582,"male","some college",0,TRUE,5.4,4.2,5.2,5,5.8,78.1,44.3,83.3,92.6,94.1
"465",1,5,1,5,5,5,4,3,2,2,2,4,3,5,4,1,3,5,2,4,4,2,4,5,2,2,4,41,62589,"female","college graduate",0,TRUE,4.4,4.4,4,3,4.6,34.5,52.1,41.9,47.5,48.5
"466",1,5,6,5,5,5,4,4,1,4,1,2,3,6,4,1,1,1,1,2,4,1,4,5,2,2,4,27,62590,"female","college graduate",0,TRUE,5.4,4.4,4.8,1.2,4.8,78.1,52.1,69.8,3.8,57.7
"467",2,6,,5,5,6,5,6,2,3,1,1,6,6,6,2,3,4,1,2,6,6,5,4,2,2,2,24,62594,"female","finished HS",1,TRUE,5.2,5.2,6,2.4,4.2,69.3,82.5,98.8,29.6,31.3
"468",2,5,5,5,4,6,2,4,2,5,1,2,5,5,5,4,5,5,5,4,6,2,5,6,1,2,5,60,62597,"female","graduate degree",0,TRUE,4.8,3.8,5.2,4.6,5.6,50.9,30.7,83.3,87.5,88.9
"469",1,5,5,6,6,6,1,5,3,1,6,6,1,5,1,4,5,5,6,1,6,5,1,6,4,2,3,52,62599,"female","some college",0,TRUE,5.6,4.4,1.8,4.2,3.6,86,52.1,2.7,79.4,12.1
"470",1,5,6,6,6,6,5,6,1,2,1,1,5,6,,2,4,2,3,5,6,4,6,6,1,2,3,21,62604,"female","some college",1,TRUE,5.8,5.6,5.6,3.2,5.4,92.2,92.9,93,53.1,82.2
"471",3,5,5,6,5,5,5,3,4,1,4,3,4,4,5,5,6,6,2,2,5,2,5,6,3,2,3,20,62605,"female","some college",0,TRUE,5,4.4,4,4.2,5,60.3,52.1,41.9,79.4,66.4
"472",2,6,6,6,6,5,5,3,1,1,1,4,5,6,4,1,1,1,1,1,5,1,5,3,4,2,3,25,62606,"female","some college",0,TRUE,5.8,5,4.8,1,4.4,92.2,75.8,69.8,1.5,39.5
"473",1,6,5,6,6,5,6,5,1,1,3,4,3,6,4,3,4,4,3,5,3,3,4,5,4,2,3,24,62610,"female","some college",0,TRUE,5.8,5.6,4,3.8,3.8,92.2,92.9,41.9,69.1,17.3
"474",2,2,4,3,2,4,3,4,3,4,4,2,1,5,4,4,4,4,5,1,3,2,2,4,4,2,2,25,62611,"female","finished HS",0,TRUE,3.2,3.6,3.6,3.6,3.4,7.4,24.2,28.5,63.6,8
"475",2,4,4,3,3,4,2,4,4,2,5,3,3,4,4,2,3,3,3,3,4,2,3,3,3,2,2,30,62612,"female","finished HS",0,TRUE,3.8,3.6,3.4,2.8,3.8,16,24.2,23.1,41.3,17.3
"476",4,2,1,3,1,3,1,2,4,2,3,4,1,3,2,4,5,4,3,3,2,4,2,6,2,2,3,19,62613,"female","some college",0,TRUE,2,2.8,2.6,3.8,3.6,0.8,7.1,8.6,69.1,12.1
"477",6,5,5,6,6,3,1,4,5,2,3,1,6,5,3,1,1,4,3,1,6,6,6,6,3,1,3,17,62615,"male","some college",0,TRUE,4.6,3,4.8,2,4.6,42.2,9.9,69.8,18.8,48.5
"478",2,6,6,6,6,6,6,6,1,1,3,6,6,1,6,4,4,1,1,3,6,1,6,2,1,2,3,52,62617,"female","some college",0,TRUE,5.8,6,3.6,2.6,5.2,92.2,98.9,28.5,35.3,74.6
"479",2,5,6,5,4,4,3,4,5,4,1,2,4,6,5,6,6,6,3,2,4,3,2,3,5,2,3,27,62618,"female","some college",0,TRUE,5,3.2,5.2,4.6,3,60.3,13.8,83.3,87.5,2.8
"480",1,6,6,6,6,6,6,5,1,4,1,1,6,6,6,4,6,5,2,4,6,5,6,6,1,2,3,55,62622,"female","some college",0,TRUE,6,5.2,6,4.2,5.2,97.6,82.5,98.8,79.4,74.6
"481",1,6,2,6,6,5,4,2,1,2,1,1,5,6,5,5,4,4,4,5,6,1,6,5,1,2,5,39,62623,"female","graduate degree",0,TRUE,5.2,4.4,5.6,4.4,5.8,69.3,52.1,93,83.8,94.1
"482",1,6,6,6,6,6,5,5,1,2,2,1,5,5,6,2,4,2,2,4,6,2,6,6,2,2,3,39,62625,"female","some college",0,TRUE,6,5.4,5.4,2.8,5.6,97.6,88.2,88.7,41.3,88.9
"483",1,3,2,6,3,5,5,5,2,4,5,6,1,3,3,3,4,1,4,1,2,6,1,5,3,2,3,39,62627,"female","some college",0,TRUE,4,4.6,2,2.6,2.6,21.2,60.3,3.8,35.3,1
"484",3,5,2,5,5,4,4,,4,5,4,2,5,3,4,2,4,5,4,4,4,3,5,5,2,1,3,18,62635,"male","some college",1,TRUE,4.2,3.6,4,3.8,4.6,27.6,24.2,41.9,69.1,48.5
"485",2,6,6,2,6,6,3,5,1,2,1,1,5,5,6,1,2,2,1,1,5,1,6,4,1,2,3,51,62638,"female","some college",0,TRUE,5,5,5.6,1.4,5.4,60.3,75.8,93,6.4,82.2
"486",1,5,6,6,6,6,5,5,5,1,6,5,5,5,2,1,1,4,1,5,6,6,6,6,5,2,3,25,62640,"female","some college",0,TRUE,5.8,4.8,3,2.4,4.2,92.2,68.3,15.1,29.6,31.3
"487",2,5,5,6,5,6,5,5,3,3,2,3,4,5,5,1,2,2,2,2,6,5,5,4,1,2,1,15,62642,"female","HS",0,TRUE,5.2,4.8,4.6,1.8,4.6,69.3,68.3,62.8,13.8,48.5
"488",1,4,4,6,4,3,4,2,2,2,2,4,4,4,4,4,4,5,4,4,3,4,3,5,3,2,2,42,62643,"female","finished HS",0,TRUE,4.8,3.8,4,4.2,3.6,50.9,30.7,41.9,79.4,12.1
"489",2,6,5,6,4,5,6,5,1,2,1,4,5,5,5,4,4,5,5,6,4,1,6,6,1,2,4,24,62644,"female","college graduate",0,TRUE,5.2,5.4,4.8,4.8,5.6,69.3,88.2,69.8,90.3,88.9
